index	prediction
0	neutral
1	neutral
2	neutral
3	neutral
4	entailment
5	entailment
6	entailment
7	entailment
8	contradiction
9	neutral
10	entailment
11	entailment
12	neutral
13	entailment
14	entailment
15	entailment
16	neutral
17	neutral
18	neutral
19	neutral
20	entailment
21	entailment
22	neutral
23	neutral
24	entailment
25	entailment
26	neutral
27	neutral
28	neutral
29	neutral
30	entailment
31	entailment
32	entailment
33	entailment
34	entailment
35	entailment
36	neutral
37	neutral
38	entailment
39	entailment
40	neutral
41	neutral
42	neutral
43	neutral
44	neutral
45	neutral
46	neutral
47	neutral
48	neutral
49	neutral
50	neutral
51	neutral
52	entailment
53	entailment
54	entailment
55	entailment
56	neutral
57	entailment
58	neutral
59	neutral
60	neutral
61	neutral
62	neutral
63	neutral
64	neutral
65	neutral
66	neutral
67	neutral
68	entailment
69	entailment
70	entailment
71	entailment
72	entailment
73	entailment
74	neutral
75	neutral
76	neutral
77	neutral
78	neutral
79	neutral
80	neutral
81	neutral
82	contradiction
83	contradiction
84	entailment
85	entailment
86	neutral
87	neutral
88	neutral
89	neutral
90	entailment
91	entailment
92	entailment
93	entailment
94	neutral
95	neutral
96	entailment
97	neutral
98	neutral
99	neutral
100	neutral
101	neutral
102	entailment
103	entailment
104	entailment
105	entailment
106	entailment
107	entailment
108	contradiction
109	contradiction
110	contradiction
111	contradiction
112	contradiction
113	contradiction
114	contradiction
115	contradiction
116	entailment
117	contradiction
118	contradiction
119	contradiction
120	entailment
121	entailment
122	entailment
123	entailment
124	entailment
125	entailment
126	entailment
127	entailment
128	entailment
129	entailment
130	entailment
131	entailment
132	entailment
133	entailment
134	entailment
135	entailment
136	entailment
137	entailment
138	entailment
139	entailment
140	entailment
141	entailment
142	entailment
143	entailment
144	contradiction
145	contradiction
146	contradiction
147	contradiction
148	neutral
149	neutral
150	neutral
151	neutral
152	neutral
153	neutral
154	entailment
155	entailment
156	neutral
157	neutral
158	neutral
159	neutral
160	neutral
161	neutral
162	contradiction
163	contradiction
164	neutral
165	neutral
166	entailment
167	entailment
168	entailment
169	entailment
170	neutral
171	neutral
172	neutral
173	neutral
174	neutral
175	neutral
176	neutral
177	neutral
178	neutral
179	neutral
180	neutral
181	neutral
182	entailment
183	entailment
184	neutral
185	neutral
186	neutral
187	neutral
188	entailment
189	entailment
190	contradiction
191	contradiction
192	entailment
193	entailment
194	contradiction
195	contradiction
196	entailment
197	entailment
198	neutral
199	neutral
200	entailment
201	neutral
202	neutral
203	neutral
204	entailment
205	entailment
206	neutral
207	neutral
208	entailment
209	entailment
210	contradiction
211	contradiction
212	neutral
213	neutral
214	neutral
215	neutral
216	neutral
217	neutral
218	entailment
219	entailment
220	neutral
221	contradiction
222	entailment
223	entailment
224	neutral
225	contradiction
226	entailment
227	entailment
228	entailment
229	entailment
230	entailment
231	entailment
232	contradiction
233	contradiction
234	contradiction
235	contradiction
236	neutral
237	neutral
238	neutral
239	neutral
240	entailment
241	entailment
242	entailment
243	entailment
244	entailment
245	entailment
246	entailment
247	neutral
248	entailment
249	neutral
250	neutral
251	neutral
252	entailment
253	entailment
254	entailment
255	entailment
256	entailment
257	entailment
258	neutral
259	entailment
260	neutral
261	neutral
262	neutral
263	neutral
264	entailment
265	entailment
266	neutral
267	entailment
268	entailment
269	entailment
270	entailment
271	entailment
272	contradiction
273	contradiction
274	contradiction
275	contradiction
276	entailment
277	entailment
278	entailment
279	entailment
280	neutral
281	entailment
282	neutral
283	entailment
284	entailment
285	entailment
286	entailment
287	entailment
288	entailment
289	entailment
290	entailment
291	entailment
292	contradiction
293	neutral
294	neutral
295	neutral
296	entailment
297	contradiction
298	entailment
299	entailment
300	entailment
301	entailment
302	neutral
303	neutral
304	neutral
305	neutral
306	entailment
307	entailment
308	entailment
309	entailment
310	entailment
311	entailment
312	entailment
313	entailment
314	contradiction
315	contradiction
316	neutral
317	contradiction
318	entailment
319	entailment
320	contradiction
321	entailment
322	neutral
323	neutral
324	neutral
325	contradiction
326	neutral
327	neutral
328	neutral
329	neutral
330	entailment
331	entailment
332	entailment
333	entailment
334	contradiction
335	neutral
336	entailment
337	entailment
338	neutral
339	neutral
340	neutral
341	neutral
342	entailment
343	entailment
344	entailment
345	entailment
346	neutral
347	neutral
348	neutral
349	neutral
350	neutral
351	neutral
352	neutral
353	neutral
354	neutral
355	neutral
356	neutral
357	neutral
358	neutral
359	neutral
360	neutral
361	neutral
362	neutral
363	entailment
364	neutral
365	entailment
366	neutral
367	entailment
368	neutral
369	entailment
370	neutral
371	neutral
372	neutral
373	neutral
374	neutral
375	neutral
376	neutral
377	neutral
378	neutral
379	neutral
380	neutral
381	neutral
382	entailment
383	neutral
384	neutral
385	neutral
386	neutral
387	neutral
388	contradiction
389	neutral
390	neutral
391	contradiction
392	neutral
393	contradiction
394	neutral
395	neutral
396	neutral
397	entailment
398	contradiction
399	contradiction
400	entailment
401	contradiction
402	contradiction
403	contradiction
404	contradiction
405	contradiction
406	contradiction
407	contradiction
408	entailment
409	contradiction
410	contradiction
411	contradiction
412	contradiction
413	contradiction
414	entailment
415	contradiction
416	entailment
417	entailment
418	contradiction
419	contradiction
420	contradiction
421	contradiction
422	contradiction
423	contradiction
424	contradiction
425	contradiction
426	neutral
427	neutral
428	neutral
429	neutral
430	neutral
431	entailment
432	neutral
433	neutral
434	neutral
435	neutral
436	entailment
437	entailment
438	entailment
439	entailment
440	neutral
441	neutral
442	neutral
443	neutral
444	neutral
445	neutral
446	neutral
447	neutral
448	entailment
449	entailment
450	neutral
451	neutral
452	entailment
453	entailment
454	entailment
455	entailment
456	entailment
457	entailment
458	entailment
459	entailment
460	entailment
461	neutral
462	entailment
463	entailment
464	contradiction
465	contradiction
466	contradiction
467	contradiction
468	neutral
469	neutral
470	neutral
471	neutral
472	neutral
473	neutral
474	contradiction
475	neutral
476	entailment
477	entailment
478	neutral
479	entailment
480	neutral
481	neutral
482	entailment
483	entailment
484	neutral
485	neutral
